Allele	Caucasian	African	Asian
hla_dpa1_01_03	0.1	0.1	0.1
hla_dpa1_01_04	0.1	0.1	0.1
hla_dpa1_01_06	0.1	0.1	0.1
hla_dpa1_01_100	0.1	0.1	0.1
hla_dpa1_01_104	0.1	0.1	0.1
hla_dpa1_01_107	0.1	0.1	0.1
hla_dpa1_01_12	0.1	0.1	0.1
hla_dpa1_01_125	0.1	0.1	0.1
hla_dpa1_01_141	0.1	0.1	0.1
hla_dpa1_01_18	0.1	0.1	0.1
hla_dpa1_01_19	0.1	0.1	0.1
hla_dpa1_01_30	0.1	0.1	0.1
hla_dpa1_01_33	0.1	0.1	0.1
hla_dpa1_01_42	0.1	0.1	0.1
hla_dpa1_01_44	0.1	0.1	0.1
hla_dpa1_01_57	0.1	0.1	0.1
hla_dpa1_01_58	0.1	0.1	0.1
hla_dpa1_01_60	0.1	0.1	0.1
hla_dpa1_01_61	0.1	0.1	0.1
hla_dpa1_01_62	0.1	0.1	0.1
hla_dpa1_01_77	0.1	0.1	0.1
hla_dpa1_01_87q	0.1	0.1	0.1
hla_dpa1_01_91	0.1	0.1	0.1
hla_dpa1_02_01	0.1	0.1	0.1
hla_dpa1_02_02	0.1	0.1	0.1
hla_dpa1_02_06	0.1	0.1	0.1
hla_dpa1_02_07	0.1	0.1	0.1
hla_dpa1_02_09	0.1	0.1	0.1
hla_dpa1_02_12	0.1	0.1	0.1
hla_dpa1_02_17	0.1	0.1	0.1
hla_dpa1_02_26	0.1	0.1	0.1
hla_dpa1_02_30	0.1	0.1	0.1
hla_dpa1_02_31	0.1	0.1	0.1
hla_dpa1_02_43	0.1	0.1	0.1
hla_dpa1_02_46	0.1	0.1	0.1
hla_dpa1_02_49	0.1	0.1	0.1
hla_dpa1_02_55	0.1	0.1	0.1
hla_dpa1_02_57	0.1	0.1	0.1
hla_dpa1_02_59	0.1	0.1	0.1
hla_dpa1_02_66	0.1	0.1	0.1
hla_dpa1_02_70	0.1	0.1	0.1
hla_dpa1_02_81	0.1	0.1	0.1
hla_dpa1_02_86	0.1	0.1	0.1
hla_dpa1_02_97	0.1	0.1	0.1
hla_dpa1_03_01	0.1	0.1	0.1
hla_dpa1_03_05	0.1	0.1	0.1
hla_dpa1_03_08	0.1	0.1	0.1
hla_dpa1_04_01	0.1	0.1	0.1
hla_dpa1_04_02	0.1	0.1	0.1
hla_dpa2_01_01	0.1	0.1	0.1
hla_dpa2_02_01	0.1	0.1	0.1
hla_dpb1_01_01	0.1	0.1	0.1
hla_dpb1_02_01	0.1	0.1	0.1
hla_dpb1_02_02	0.1	0.1	0.1
hla_dpb1_03_01	0.1	0.1	0.1
hla_dpb1_04_01	0.1	0.1	0.1
hla_dpb1_04_02	0.1	0.1	0.1
hla_dpb1_05_01	0.1	0.1	0.1
hla_dpb1_06_01	0.1	0.1	0.1
hla_dpb1_09_01	0.1	0.1	0.1
hla_dpb1_10_01	0.1	0.1	0.1
hla_dpb1_1037_01	0.1	0.1	0.1
hla_dpb1_104_01	0.1	0.1	0.1
hla_dpb1_105_01	0.1	0.1	0.1
hla_dpb1_106_01	0.1	0.1	0.1
hla_dpb1_107_01	0.1	0.1	0.1
hla_dpb1_1071_01	0.1	0.1	0.1
hla_dpb1_1082_01	0.1	0.1	0.1
hla_dpb1_1088_01	0.1	0.1	0.1
hla_dpb1_109_01	0.1	0.1	0.1
hla_dpb1_11_01	0.1	0.1	0.1
hla_dpb1_1102_01	0.1	0.1	0.1
hla_dpb1_1109_01	0.1	0.1	0.1
hla_dpb1_1117_01	0.1	0.1	0.1
hla_dpb1_1128_01	0.1	0.1	0.1
hla_dpb1_1129_01	0.1	0.1	0.1
hla_dpb1_1130_01	0.1	0.1	0.1
hla_dpb1_1131_01	0.1	0.1	0.1
hla_dpb1_1132_01	0.1	0.1	0.1
hla_dpb1_1133_01	0.1	0.1	0.1
hla_dpb1_1139_01	0.1	0.1	0.1
hla_dpb1_1144_01	0.1	0.1	0.1
hla_dpb1_1147_01	0.1	0.1	0.1
hla_dpb1_115_01	0.1	0.1	0.1
hla_dpb1_1155_01	0.1	0.1	0.1
hla_dpb1_1158_01	0.1	0.1	0.1
hla_dpb1_1167_01	0.1	0.1	0.1
hla_dpb1_1188_01	0.1	0.1	0.1
hla_dpb1_1208_01	0.1	0.1	0.1
hla_dpb1_1226_01	0.1	0.1	0.1
hla_dpb1_1238_01	0.1	0.1	0.1
hla_dpb1_124_01	0.1	0.1	0.1
hla_dpb1_1243_01	0.1	0.1	0.1
hla_dpb1_1246_01	0.1	0.1	0.1
hla_dpb1_126_01	0.1	0.1	0.1
hla_dpb1_1261_01	0.1	0.1	0.1
hla_dpb1_127_01	0.1	0.1	0.1
hla_dpb1_1275_01n	0.1	0.1	0.1
hla_dpb1_128_01	0.1	0.1	0.1
hla_dpb1_1284_01	0.1	0.1	0.1
hla_dpb1_1290_01	0.1	0.1	0.1
hla_dpb1_130_01	0.1	0.1	0.1
hla_dpb1_13_01	0.1	0.1	0.1
hla_dpb1_131_01	0.1	0.1	0.1
hla_dpb1_1323_01	0.1	0.1	0.1
hla_dpb1_133_01	0.1	0.1	0.1
hla_dpb1_1332_01n	0.1	0.1	0.1
hla_dpb1_1345_01	0.1	0.1	0.1
hla_dpb1_135_01	0.1	0.1	0.1
hla_dpb1_1360_01	0.1	0.1	0.1
hla_dpb1_136_01	0.1	0.1	0.1
hla_dpb1_1366_01	0.1	0.1	0.1
hla_dpb1_1367_01	0.1	0.1	0.1
hla_dpb1_1369_01	0.1	0.1	0.1
hla_dpb1_1372_01	0.1	0.1	0.1
hla_dpb1_1377_01	0.1	0.1	0.1
hla_dpb1_138_01	0.1	0.1	0.1
hla_dpb1_1387_01	0.1	0.1	0.1
hla_dpb1_1392_01	0.1	0.1	0.1
hla_dpb1_1396_01	0.1	0.1	0.1
hla_dpb1_1398_01n	0.1	0.1	0.1
hla_dpb1_1400_01	0.1	0.1	0.1
hla_dpb1_14_01	0.1	0.1	0.1
hla_dpb1_141_01	0.1	0.1	0.1
hla_dpb1_1415_01n	0.1	0.1	0.1
hla_dpb1_1423_01n	0.1	0.1	0.1
hla_dpb1_146_01	0.1	0.1	0.1
hla_dpb1_1465_01	0.1	0.1	0.1
hla_dpb1_15_01	0.1	0.1	0.1
hla_dpb1_16_01	0.1	0.1	0.1
hla_dpb1_162_01	0.1	0.1	0.1
hla_dpb1_17_01	0.1	0.1	0.1
hla_dpb1_178_01	0.1	0.1	0.1
hla_dpb1_18_01	0.1	0.1	0.1
hla_dpb1_184_01	0.1	0.1	0.1
hla_dpb1_187_01	0.1	0.1	0.1
hla_dpb1_190_01	0.1	0.1	0.1
hla_dpb1_19_01	0.1	0.1	0.1
hla_dpb1_191_01	0.1	0.1	0.1
hla_dpb1_20_01	0.1	0.1	0.1
hla_dpb1_208_01	0.1	0.1	0.1
hla_dpb1_21_01	0.1	0.1	0.1
hla_dpb1_22_01	0.1	0.1	0.1
hla_dpb1_23_01	0.1	0.1	0.1
hla_dpb1_236_01	0.1	0.1	0.1
hla_dpb1_24_01	0.1	0.1	0.1
hla_dpb1_244_01	0.1	0.1	0.1
hla_dpb1_25_01	0.1	0.1	0.1
hla_dpb1_260_01	0.1	0.1	0.1
hla_dpb1_26_01	0.1	0.1	0.1
hla_dpb1_27_01	0.1	0.1	0.1
hla_dpb1_28_01	0.1	0.1	0.1
hla_dpb1_29_01	0.1	0.1	0.1
hla_dpb1_296_01	0.1	0.1	0.1
hla_dpb1_30_01	0.1	0.1	0.1
hla_dpb1_31_01	0.1	0.1	0.1
hla_dpb1_328_01n	0.1	0.1	0.1
hla_dpb1_33_01	0.1	0.1	0.1
hla_dpb1_34_01	0.1	0.1	0.1
hla_dpb1_350_01	0.1	0.1	0.1
hla_dpb1_35_01	0.1	0.1	0.1
hla_dpb1_352_01	0.1	0.1	0.1
hla_dpb1_36_01	0.1	0.1	0.1
hla_dpb1_369_01	0.1	0.1	0.1
hla_dpb1_38_01	0.1	0.1	0.1
hla_dpb1_39_01	0.1	0.1	0.1
hla_dpb1_398_01	0.1	0.1	0.1
hla_dpb1_40_01	0.1	0.1	0.1
hla_dpb1_41_01	0.1	0.1	0.1
hla_dpb1_414_01	0.1	0.1	0.1
hla_dpb1_415_01	0.1	0.1	0.1
hla_dpb1_416_01	0.1	0.1	0.1
hla_dpb1_417_01	0.1	0.1	0.1
hla_dpb1_45_01	0.1	0.1	0.1
hla_dpb1_460_01	0.1	0.1	0.1
hla_dpb1_46_01	0.1	0.1	0.1
hla_dpb1_47_01	0.1	0.1	0.1
hla_dpb1_48_01	0.1	0.1	0.1
hla_dpb1_49_01	0.1	0.1	0.1
hla_dpb1_498_01	0.1	0.1	0.1
hla_dpb1_50_01	0.1	0.1	0.1
hla_dpb1_51_01	0.1	0.1	0.1
hla_dpb1_519_01	0.1	0.1	0.1
hla_dpb1_52_01	0.1	0.1	0.1
hla_dpb1_53_01	0.1	0.1	0.1
